#{"t_start": 1767376709.5581658, "env_id": "None"}
r,l,t
420.0,521,715.054569
-46.0,55,715.234384
658.0,759,721.499262
380.0,481,723.108956
524.0,625,725.21162
225.0,326,726.283796
180.0,281,727.203563
663.0,764,733.211955
6.0,107,733.647728
472.0,573,735.734001
376.0,477,737.283705
1183.0,1284,745.134381
67.0,168,745.763193
-46.0,55,745.958777
-45.0,56,746.127424
11.0,112,746.460111
875.0,976,753.833237
278.0,379,755.049849
174.0,275,756.026171
519.0,620,758.177978
-46.0,55,758.376109
381.0,482,760.003368
523.0,624,765.95929
5.0,106,766.349394
617.0,718,768.65714
425.0,526,770.448732
433.0,534,775.826891
281.0,382,777.105627
-46.0,55,777.303702
66.0,167,777.87671
326.0,427,779.349052
469.0,570,781.133116
171.0,272,786.020166
568.0,669,788.369785
327.0,428,789.929184
5.0,106,790.257648
792.0,893,796.729968
528.0,629,798.812399
275.0,376,800.05248
569.0,670,802.311403
375.0,476,807.377483
-46.0,55,807.558881
522.0,623,809.608082
11.0,112,810.050494
181.0,282,810.964772
-46.0,55,811.14387
949.0,1050,818.486191
-53.0,48,818.627562
173.0,274,819.54192
277.0,378,820.757286
565.0,666,822.928897
-46.0,55,823.113508
423.0,524,828.312234
825.0,926,831.283773
-48.0,53,831.46479
697.0,798,837.694527
697.0,798,840.47225
180.0,281,841.406446
179.0,280,842.360128
330.0,431,843.717261
175.0,276,848.694259
227.0,328,849.775093
60.0,161,850.366577
373.0,474,852.074966
-54.0,47,852.23042
522.0,623,854.196934
616.0,717,860.237798
786.0,887,863.065848
700.0,801,869.171365
-45.0,56,869.353869
609.0,710,871.667238
-46.0,55,871.821579
831.0,932,874.969299
525.0,626,881.091136
-47.0,54,881.264236
909.0,1010,884.654689
72.0,173,885.238446
282.0,383,890.038082
15.0,116,890.406899
707.0,808,893.028857
-46.0,55,893.248409
15.0,116,893.613038
872.0,973,900.44282
14.0,115,900.805769
6.0,107,901.123809
426.0,527,902.917876
424.0,525,904.700789
703.0,804,911.013436
830.0,931,914.433565
117.0,218,915.110924
519.0,620,917.009566
1102.0,1203,924.736538
12.0,113,925.067163
-46.0,55,925.240234
-46.0,55,925.444603
13.0,114,925.820883
789.0,890,932.129053
12.0,113,932.522723
330.0,431,933.917903
-48.0,53,934.084827
1106.0,1207,937.938874
372.0,473,943.082165
71.0,172,943.742126
568.0,669,946.443197
868.0,969,953.324765
949.0,1050,956.961081
-46.0,55,957.142075
-46.0,55,957.321846
-52.0,49,957.46927
-46.0,55,957.645313
-46.0,55,957.80949
-47.0,54,958.005525
71.0,172,958.579592
71.0,172,959.152622
-46.0,55,959.31084
427.0,528,964.513639
-47.0,54,964.677525
-54.0,47,964.809746
-49.0,52,965.005203
-46.0,55,965.183053
-46.0,55,965.363241
231.0,332,966.450096
12.0,113,966.808572
70.0,171,967.339353
228.0,329,968.428567
14.0,115,968.782769
-46.0,55,968.9802
13.0,114,969.368148
424.0,525,974.690275
-45.0,56,974.85852
871.0,972,978.063059
-48.0,53,978.208215
66.0,167,979.29698
829.0,930,985.940823
14.0,115,986.288006
609.0,710,988.448811
655.0,756,994.539829
830.0,931,997.727101
611.0,712,1000.047235
72.0,173,1000.612391
1323.0,1424,1008.920123
825.0,926,1016.123531
418.0,519,1017.845507
-46.0,55,1018.033873
63.0,164,1018.533312
284.0,385,1019.819757
376.0,477,1021.364075
11.0,112,1021.694759
15.0,116,1022.088426
-45.0,56,1022.256786
480.0,581,1027.949965
12.0,113,1028.321055
114.0,215,1029.06686
1173.0,1274,1037.110536
655.0,756,1039.574042
917.0,1018,1043.039878
-45.0,56,1043.21708
709.0,810,1050.154691
235.0,336,1051.330962
